OBJECTID,STOPNAME,TRAPEZESTOPABBR,RUCUSSTOPABBR,STOPID,LATITUDE,LONGITUDE,ACCESSIBILITYMASK,ATSTREET,ONSTREET,POSITION,ORIENTATION,SERVICEPLANNINGSTOPTYPE,SHELTER,INSERT_TIMESTAMP,SDE_ID,SIGNUPID,SUPERVISOR_DISTRICT,point,SF_Find_Neighborhoods,Current_Police_Districts,Current_Supervisor_Districts,Analysis_Neighborhoods
30599,Bosworth St&Elk St SW-NS/SB,BOSW EL0,BOSW ELK,3694,37.734871,-122.44007,0,ELK ST,BOSWORTH ST,NS,SW,,0,09/11/2019 06:58:28 PM +0000,1633313,120,,"(37.73487100019183, -122.44006999957263)",72,9,8,41
30333,19th Ave&Santiago St NE-FS/BZ,19AVSNT1,19AVSNTG,3392,37.74524,-122.47567,0,SANTIAGO ST,19TH AVE,FS,NE,BZ,0,09/11/2019 06:58:28 PM +0000,1633018,120,,"(37.74524000013616, -122.47566999951087)",44,10,8,41
33101,West Portal Ave&14th Ave S-NS/SB,W P 14AS,W P 14AV,6896,37.73785,-122.469145,0,14TH AVE,WEST PORTAL AVE,NS,S,,0,09/11/2019 06:58:28 PM +0000,1638620,120,,"(37.737850000070544, -122.46914499969103)",46,10,8,41
31403,Jackson St&Baker St SE-FS/PS,JACKBAK1,JACKBAKR,5143,37.791186,-122.444246,0,BAKER ST,JACKSON ST,FS,SE,,0,09/11/2019 06:58:28 PM +0000,1634776,120,,"(37.791185999739476, -122.4442460003928)",102,8,6,30
32422,Market St&8th St S-NS/SI,MRKT 8S1,MRKT 8ST,5651,37.778606,-122.414826,0,8TH ST,MARKET ST,NS,S,SI,0,09/11/2019 06:58:28 PM +0000,1637805,120,,"(37.77860599975683, -122.41482599962563)",32,5,10,34
30765,Market & Steuart NW-FS/BZ,MRKTSTEU,,7227,37.794454,-122.394917,0,MUNI METRO TNL,MARKET ST,,NW,,0,09/11/2019 06:58:28 PM +0000,1633772,120,,"(37.794453999596, -122.3949170005009)",108,6,3,8
30470,45th Ave&Balboa St SE-NS/PS,45AVBBO1,45AVBBOA,3570,37.775242,-122.505798,0,BALBOA ST,45TH AVE,NS,SE,,1,09/11/2019 06:58:28 PM +0000,1633200,120,,"(37.77524199963129, -122.50579800034397)",8,8,4,29
31180,Lawton St&Lomita Ave SW-NS/PS,LAWTLMT1,LAWTLMTA,4861,37.75916,-122.47269,0,LOMITA AVE,LAWTON ST,NS,SW,FL,0,09/11/2019 06:58:28 PM +0000,1634320,120,,"(37.759159999698355, -122.47269000015841)",44,10,8,14
30653,California St&Park Presidio Blvd SW,CALIPKP1,CALIPKPR,3887,37.784365,-122.472764,0,PARK PRESIDIO BLVD,CALIFORNIA ST,NS,SW,BZ,1,09/11/2019 06:58:28 PM +0000,1633484,120,,"(37.78436499998031, -122.47276399975487)",5,8,4,29
33632,Potrero Ave & 19th St,POTR19S1,,7909,37.76074,-122.407019,,19TH ST,POTRERO AVE,,,BZ,,09/11/2019 06:58:28 PM +0000,1639999,120,,"(37.760739999947155, -122.40701899998628)",54,3,9,20
30406,Ashbury St&Clifford Ter N-NS/PS,ASHBCLI0,ASHBCLIF,3657,37.764298,-122.446095,0,CLIFFORD TER,ASHBURY ST,NS,N,,0,09/11/2019 06:58:28 PM +0000,1633062,120,,"(37.764297999701135, -122.44609499960724)",114,7,11,3
33168,Kearny St&North Point St SE-NS/BZ,KRNYN.P0,KRNYN.PT,4823,37.807182,-122.407211,0,NORTH POINT ST,KEARNY ST,NS,SE,BZ,1,09/11/2019 06:58:28 PM +0000,1638765,120,,"(37.807182000101555, -122.40721100003151)",99,6,3,23
30413,Clay St&Franklin St SW-NS/BZ,CLAYFRK1,CLAYFRKL,4016,37.791907,-122.424463,0,FRANKLIN ST,CLAY ST,NS,SW,BZ,1,09/11/2019 06:58:28 PM +0000,1633072,120,,"(37.79190700012804, -122.42446299948746)",102,4,6,30
30538,California St&12TH Ave NE-NS/BZ,CALI12A0,CALI12AV,3831,37.784586,-122.470848,0,12TH AVE,CALIFORNIA ST,NS,NE,BZ,0,09/11/2019 06:58:28 PM +0000,1633355,120,,"(37.784585999650645, -122.4708479999852)",5,8,4,11
30896,Hayes St&Buchanan St NW-FS/BZ,HAYSBUC0,HAYSBUCH,4983,37.776261,-122.428274,0,BUCHANAN ST,HAYES ST,FS,NW,BZ,1,09/11/2019 06:58:28 PM +0000,1634264,120,,"(37.77626099956365, -122.42827400006816)",22,4,11,9
30696,Chenery St&Roanoke St S-NS/PS,CHNYROA1,CHNYROAN,3977,37.73548,-122.43028,0,ROANOKE ST,CHENERY ST,NS,S,FL,0,09/11/2019 06:58:28 PM +0000,1633555,120,,"(37.735479999872105, -122.43027999984149)",96,9,5,10
31354,Innes Ave&Fitch St E-NS/PS,INESFTC1,INESFTCH,5099,37.730941,-122.37376,0,FITCH ST,INNES AVE,NS,E,,0,09/11/2019 06:58:28 PM +0000,1634469,120,,"(37.73094099976617, -122.37376000016097)",76,2,9,1
32233,Palou Ave&Quint St E-NS/SB,PALUQUN1,PALUQUNT,5881,37.737163,-122.396367,0,QUINT ST,PALOU AVE,NS,E,,0,09/11/2019 06:58:28 PM +0000,1637048,120,,"(37.737163000391654, -122.39636699964554)",87,2,9,1
33222,Yerba Buena Ave&Ravenwood Dr N-FS,Y B RVW1,Y B RVWD,6989,37.73531,-122.46055,0,RAVENWOOD DR,MIRALOMA DR,FS,N,,0,09/11/2019 06:58:28 PM +0000,1638899,120,,"(37.73531000042353, -122.46055000030105)",117,9,8,41
31327,Legion of Honor SE-NS/BZ,LEG.HON1,LEG.HON.,4873,37.785015,-122.499592,0,EL CAMINO DEL MAR,LEGION OF HONOR DR,NS,SE,BZ,1,09/11/2019 06:58:28 PM +0000,1634838,120,,"(37.78501500042119, -122.4995919997107)",7,8,4,17
33487,Divisadero St&Bay St. NW-NS/PS,DIVIBAY,,7568,37.801907,-122.443331,0,BRODERICK ST,BAY ST,,,,0,09/11/2019 06:58:28 PM +0000,1639866,120,,"(37.80190699997322, -122.44333099955911)",17,4,6,13
32696,Sunset Blvd&Noriega St NW-NS/SB,SUNSNOR0,SUNSNORI,6539,37.753538,-122.495319,0,NORIEGA ST,SUNSET BLVD,NS,NW,,1,09/11/2019 06:58:28 PM +0000,1637755,120,,"(37.75353800002075, -122.49531899991392)",39,10,7,35
33028,Pacific Ave&Stockton St NW-FS/BZ,PACFST03,,7737,37.796734,-122.408581,,CORDELIA ST,PACIFIC AVE,,,,,09/11/2019 06:58:28 PM +0000,1640040,120,,"(37.79673400018346, -122.40858100037241)",104,6,3,6
30666,Church St&30TH St NE-FS/PS,CHUR30S1,CHUR30ST,4000,37.742222,-122.426459,0,30TH ST,CHURCH ST,FS,NE,FL,0,09/11/2019 06:58:28 PM +0000,1633506,120,,"(37.74222200039174, -122.42645899998492)",84,9,5,22
31339,Judah St&6th Ave NE-NS/PS,JUDA 6A0,JUDA 6AV,5190,37.762397,-122.462849,0,6TH AVE,JUDAH ST,NS,NE,,1,09/11/2019 06:58:28 PM +0000,1634405,120,,"(37.76239699980978, -122.46284900024575)",109,7,11,14
